timestamp,container,cpu_perc,mem_usage,mem_perc,pids,mem_total_gb,mem_available_gb,mem_available_pct,swap_total_gb,swap_free_gb,swap_used_pct,psi_some_avg10,psi_some_avg60,psi_full_avg10,psi_full_avg60
2026-05-04T05:33:16.239212+00:00,llama-swap,0.45%,160.3MiB / 119.7GiB,0.13%,27,119.694,76.431,63.86,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:16.239256+00:00,librechat,0.01%,261.2MiB / 119.7GiB,0.21%,29,119.694,76.431,63.86,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:16.239262+00:00,litellm,0.13%,546.3MiB / 119.7GiB,0.45%,5,119.694,76.431,63.86,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:16.239267+00:00,librechat-mongodb,0.35%,52.59MiB / 119.7GiB,0.04%,50,119.694,76.431,63.86,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:16.239272+00:00,ls-unsloth-qwen3-coder-30b-a3b-q4-64k,100.73%,548.7MiB / 119.7GiB,0.45%,25,119.694,76.431,63.86,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:20.268214+00:00,ls-unsloth-qwen3-coder-30b-a3b-q4-64k,100.40%,660.7MiB / 119.7GiB,0.54%,25,119.694,85.243,71.22,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:20.268250+00:00,llama-swap,0.12%,160.3MiB / 119.7GiB,0.13%,27,119.694,85.243,71.22,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:20.268255+00:00,librechat,0.01%,261.5MiB / 119.7GiB,0.21%,29,119.694,85.243,71.22,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:20.268260+00:00,litellm,0.15%,546.3MiB / 119.7GiB,0.45%,5,119.694,85.243,71.22,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:20.268264+00:00,librechat-mongodb,0.36%,52.91MiB / 119.7GiB,0.04%,50,119.694,85.243,71.22,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:24.295053+00:00,ls-unsloth-qwen3-coder-30b-a3b-q4-64k,100.33%,661.4MiB / 119.7GiB,0.54%,25,119.694,85.203,71.18,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:24.295079+00:00,llama-swap,0.13%,160.6MiB / 119.7GiB,0.13%,27,119.694,85.203,71.18,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:24.295085+00:00,librechat,0.01%,261.8MiB / 119.7GiB,0.21%,29,119.694,85.203,71.18,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:24.295090+00:00,litellm,0.14%,546.3MiB / 119.7GiB,0.45%,5,119.694,85.203,71.18,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:24.295094+00:00,librechat-mongodb,0.30%,52.62MiB / 119.7GiB,0.04%,50,119.694,85.203,71.18,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:28.324884+00:00,ls-unsloth-qwen3-coder-30b-a3b-q4-64k,100.26%,661.7MiB / 119.7GiB,0.54%,25,119.694,85.198,71.18,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:28.324919+00:00,llama-swap,0.00%,160.6MiB / 119.7GiB,0.13%,27,119.694,85.198,71.18,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:28.324930+00:00,librechat,0.01%,261.8MiB / 119.7GiB,0.21%,29,119.694,85.198,71.18,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:28.324939+00:00,litellm,0.17%,546.3MiB / 119.7GiB,0.45%,5,119.694,85.198,71.18,16.0,15.963,0.23,0.00,0.00,0.00,0.00
2026-05-04T05:33:28.324947+00:00,librechat-mongodb,0.35%,52.61MiB / 119.7GiB,0.04%,50,119.694,85.198,71.18,16.0,15.963,0.23,0.00,0.00,0.00,0.00
